,Nivel,Cod,EnteFederativo,2018,2019,2020,2021
236,"""MU""","""1503606""","""Itaituba (PA)""","""1814310""","""2041945""","""2629483""","""3078558"""
237,"""MU""","""1503705""","""Itupiranga (PA)""","""518941""","""580326""","""659096""","""841956"""
238,"""MU""","""1503754""","""Jacareacanga (PA)""","""461440""","""524934""","""575748""","""625760"""
239,"""MU""","""1503804""","""Jacundá (PA)""","""484129""","""488417""","""530795""","""615695"""
240,"""MU""","""1503903""","""Juruti (PA)""","""996562""","""1204784""","""1366882""","""1451756"""
241,"""MU""","""1504000""","""Limoeiro do Ajuru (PA)""","""404797""","""423763""","""484931""","""503051"""
242,"""MU""","""1504059""","""Mãe do Rio (PA)""","""292918""","""291476""","""324787""","""340311"""
243,"""MU""","""1504109""","""Magalhães Barata (PA)""","""81723""","""74014""","""93255""","""98432"""
244,"""MU""","""1504208""","""Marabá (PA)""","""8779878""","""11406386""","""12928283""","""13523145"""
245,"""MU""","""1504307""","""Maracanã (PA)""","""234515""","""228263""","""255647""","""289997"""
246,"""MU""","""1504406""","""Marapanim (PA)""","""234487""","""220111""","""247826""","""263657"""
247,"""MU""","""1504422""","""Marituba (PA)""","""1901593""","""1941535""","""2088809""","""2578541"""
248,"""MU""","""1504455""","""Medicilândia (PA)""","""613954""","""654621""","""877101""","""1023972"""
249,"""MU""","""1504505""","""Melgaço (PA)""","""178066""","""180022""","""196394""","""216855"""
250,"""MU""","""1504604""","""Mocajuba (PA)""","""294911""","""378747""","""496711""","""452082"""
251,"""MU""","""1504703""","""Moju (PA)""","""841663""","""914896""","""1267327""","""1348481"""
252,"""MU""","""1504752""","""Mojuí dos Campos (PA)""","""153295""","""170177""","""194352""","""288644"""
253,"""MU""","""1504802""","""Monte Alegre (PA)""","""720963""","""621428""","""711142""","""807340"""
254,"""MU""","""1504901""","""Muaná (PA)""","""257444""","""292578""","""322367""","""338764"""
255,"""MU""","""1504950""","""Nova Esperança do Piriá (PA)""","""197887""","""208330""","""257783""","""350842"""
256,"""MU""","""1504976""","""Nova Ipixuna (PA)""","""136533""","""158361""","""169370""","""192605"""
257,"""MU""","""1505007""","""Nova Timboteua (PA)""","""118687""","""115806""","""143838""","""147491"""
258,"""MU""","""1505031""","""Novo Progresso (PA)""","""584389""","""698729""","""828234""","""971539"""
259,"""MU""","""1505064""","""Novo Repartimento (PA)""","""853901""","""831147""","""941685""","""1117034"""
260,"""MU""","""1505106""","""Óbidos (PA)""","""640921""","""977405""","""897960""","""965930"""
261,"""MU""","""1505205""","""Oeiras do Pará (PA)""","""388392""","""365938""","""441907""","""419077"""
262,"""MU""","""1505304""","""Oriximiná (PA)""","""1626475""","""2085534""","""2498985""","""2278575"""
263,"""MU""","""1505403""","""Ourém (PA)""","""169095""","""174935""","""203579""","""200629"""
264,"""MU""","""1505437""","""Ourilândia do Norte (PA)""","""610583""","""634512""","""776093""","""1302429"""
265,"""MU""","""1505486""","""Pacajá (PA)""","""595519""","""677086""","""724417""","""867605"""
266,"""MU""","""1505494""","""Palestina do Pará (PA)""","""65452""","""72213""","""82696""","""98769"""
267,"""MU""","""1505502""","""Paragominas (PA)""","""2646845""","""3132989""","""3777041""","""4280508"""
268,"""MU""","""1505536""","""Parauapebas (PA)""","""15994405""","""23001043""","""38012250""","""49763040"""
269,"""MU""","""1505551""","""Pau D'Arco (PA)""","""87951""","""88909""","""97551""","""114870"""
270,"""MU""","""1505601""","""Peixe-Boi (PA)""","""55061""","""53683""","""65783""","""72327"""
271,"""MU""","""1505635""","""Piçarra (PA)""","""235131""","""211878""","""274930""","""292755"""
272,"""MU""","""1505650""","""Placas (PA)""","""245415""","""258528""","""309328""","""323263"""
273,"""MU""","""1505700""","""Ponta de Pedras (PA)""","""212006""","""221526""","""247224""","""275230"""
274,"""MU""","""1505809""","""Portel (PA)""","""893428""","""785876""","""881126""","""945733"""
275,"""MU""","""1505908""","""Porto de Moz (PA)""","""309826""","""321165""","""348933""","""404677"""
276,"""MU""","""1506005""","""Prainha (PA)""","""288610""","""295872""","""342839""","""442969"""
277,"""MU""","""1506104""","""Primavera (PA)""","""198941""","""236992""","""295838""","""321726"""
278,"""MU""","""1506112""","""Quatipuru (PA)""","""97467""","""99904""","""111330""","""120882"""
279,"""MU""","""1506138""","""Redenção (PA)""","""1802377""","""1866113""","""2030687""","""2552479"""
280,"""MU""","""1506161""","""Rio Maria (PA)""","""479389""","""494992""","""572062""","""601872"""
281,"""MU""","""1506187""","""Rondon do Pará (PA)""","""531514""","""533208""","""629544""","""734050"""
